Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway
6aEqa87m,SOUTH KOREA 2,ROUND 23,2025-08-02,07:00,Bucheon FC 1995,Seongnam,3.0,2.1,3.6,1.4,2.73,2.95,1.35,7.77,1.05,2.35,3.4,2.9,1.04,9.83,1.33,3.25,2.06,1.77,3.77,1.26,7.92,1.07,1.83,1.83,1.37,1.27,1.54,9.5,9.0,15.0,29.0,7.5,6.5,11.0,23.0,11.0,9.5,15.0,34.0,21.0,21.0,29.0,51.0,251.0,0.425531914893617,0.29411764705882354,0.3448275862068966,0.1821497255096963,0.6911764705882354,0.810344827586207,1.4468085106382977,1.1724137931034482,1.2340425531914894,0.8529411764705882,0.5499999999999998,1.0499999999999998,0.5,15.376251248826184,27.699472808054992,-14.036243467926479,0.18965517241379304,0.30882352941176466,0.1724137931034483
0OYFWQsm,JAPAN 2,ROUND 24,2025-08-02,07:30,Iwata,Blaublitz,2.25,2.25,5.0,1.33,2.95,2.72,1.38,6.75,1.06,1.7,3.7,4.75,1.01,11.0,1.25,3.41,1.83,1.83,3.15,1.29,6.28,1.07,1.83,1.83,1.18,1.29,2.1,11.0,13.0,23.0,51.0,7.0,7.0,15.0,41.0,8.0,8.5,17.0,41.0,13.0,13.0,26.0,51.0,251.0,0.5882352941176471,0.27027027027027023,0.21052631578947367,0.4579691445271514,0.45945945945945943,0.35789473684210527,2.1764705882352944,0.7789473684210527,2.794117647058824,1.2837837837837838,3.05,2.0,1.0499999999999998,56.74563342528795,45.0,27.699472808054992,0.6421052631578947,0.5405405405405405,0.22105263157894733
MehxtBMF,GERMANY 2,ROUND 1,2025-08-02,08:00,Paderborn,Holstein Kiel,2.88,2.3,3.4,1.33,3.25,2.5,1.51,6.46,1.1,2.3,3.5,2.9,1.01,13.0,1.22,3.99,1.69,2.12,2.67,1.45,4.93,1.15,1.57,2.25,1.4,1.29,1.57,13.0,12.0,17.0,29.0,10.0,6.5,11.0,21.0,12.0,9.5,12.0,26.0,21.0,17.0,23.0,41.0,151.0,0.4347826086956522,0.2857142857142857,0.3448275862068966,0.20689655172413796,0.6571428571428571,0.793103448275862,1.5217391304347827,1.206896551724138,1.2608695652173914,0.8285714285714285,0.6000000000000001,1.2000000000000002,0.6000000000000001,16.699244233993625,30.96375653207353,-16.699244233993625,0.20689655172413796,0.3428571428571429,0.20689655172413796
EgXGYSEk,GERMANY 2,ROUND 1,2025-08-02,08:00,Karlsruher SC,Preussen Munster,2.75,2.3,3.75,1.33,3.25,2.5,1.51,6.46,1.1,2.1,3.5,3.25,1.01,13.0,1.22,3.99,1.76,2.03,2.82,1.41,5.43,1.13,1.62,2.2,1.33,1.29,1.7,13.0,12.0,17.0,34.0,9.0,7.0,12.0,23.0,11.0,9.0,13.0,29.0,19.0,17.0,23.0,41.0,151.0,0.47619047619047616,0.2857142857142857,0.3076923076923077,0.2531048224248827,0.6,0.6461538461538462,1.6666666666666665,1.0769230769230769,1.5476190476190474,0.9285714285714286,1.15,1.4,0.25,29.89890183861456,34.99202019855866,-7.125016348901798,0.3538461538461538,0.39999999999999997,0.07692307692307693
2gxyrXi3,GERMANY 2,ROUND 1,2025-08-02,08:00,Elversberg,Nurnberg,2.5,2.38,4.0,1.3,3.4,2.5,1.51,5.97,1.12,1.91,3.7,3.7,1.01,15.0,1.19,4.31,1.69,2.12,2.67,1.45,4.93,1.15,1.57,2.25,1.29,1.29,1.83,15.0,15.0,21.0,41.0,9.5,7.0,13.0,26.0,11.0,8.5,12.0,29.0,17.0,15.0,21.0,41.0,126.0,0.5235602094240838,0.27027027027027023,0.27027027027027023,0.33301513915663705,0.5162162162162162,0.5162162162162162,1.93717277486911,1.0,1.93717277486911,1.0,1.7900000000000003,1.7900000000000003,0.0,41.82854278370222,41.82854278370222,0.0,0.48378378378378384,0.48378378378378384,0.0
zaIBfAy9,GERMANY 2,ROUND 1,2025-08-02,08:00,Darmstadt,Bochum,2.88,2.38,3.25,1.29,3.51,2.4,1.55,5.48,1.14,2.3,3.5,2.9,1.01,15.0,1.18,4.49,1.64,2.22,2.47,1.5,4.31,1.19,1.53,2.38,1.4,1.29,1.57,15.0,13.0,17.0,29.0,11.0,7.0,11.0,21.0,13.0,9.5,11.0,26.0,23.0,17.0,21.0,34.0,126.0,0.4347826086956522,0.2857142857142857,0.3448275862068966,0.20689655172413796,0.6571428571428571,0.793103448275862,1.5217391304347827,1.206896551724138,1.2608695652173914,0.8285714285714285,0.6000000000000001,1.2000000000000002,0.6000000000000001,16.699244233993625,30.96375653207353,-16.699244233993625,0.20689655172413796,0.3428571428571429,0.20689655172413796
8YT4ji8K,SWEDEN 2,ROUND 17,2025-08-02,08:00,Ostersund,Helsingborg,3.2,2.2,3.2,1.29,3.15,2.58,1.42,6.75,1.06,2.63,3.4,2.7,1.01,11.0,1.22,3.67,1.74,1.93,2.95,1.33,5.33,1.11,1.67,2.1,1.44,1.3,1.44,11.0,10.0,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,12.0,26.0,26.0,21.0,26.0,41.0,151.0,0.3802281368821293,0.29411764705882354,0.37037037037037035,0.14632074815150353,0.7735294117647059,0.974074074074074,1.2927756653992395,1.259259259259259,1.0266159695817492,0.7941176470588236,0.07000000000000028,0.77,0.6999999999999997,2.004534032105912,21.056705590704777,-19.290046219188728,0.02592592592592603,0.22647058823529412,0.25925925925925913
Wr7NepLs,ENGLAND 3,ROUND 1,2025-08-02,08:30,Cardiff,Peterborough,2.2,2.4,4.75,1.29,3.51,2.4,1.55,5.48,1.14,1.67,4.1,4.5,1.01,15.0,1.18,4.49,1.64,2.22,2.47,1.5,4.31,1.19,1.62,2.2,1.18,1.22,2.15,15.0,17.0,26.0,51.0,9.0,8.0,15.0,34.0,9.0,8.5,13.0,34.0,13.0,12.0,21.0,41.0,151.0,0.5988023952095809,0.24390243902439027,0.2222222222222222,0.4473844381152398,0.40731707317073174,0.3711111111111111,2.4550898203592815,0.911111111111111,2.694610778443114,1.0975609756097562,2.83,2.4299999999999997,0.40000000000000036,54.75062460294227,50.54407334395824,11.309932474020224,0.6288888888888889,0.5926829268292683,0.08888888888888896
t8DsgijJ,CHINA 1,ROUND 19,2025-08-02,08:35,Chengdu Rongcheng,Shandong Taishan,1.91,2.63,5.5,1.24,3.7,2.16,1.62,4.77,1.15,1.45,4.75,5.75,1.01,14.0,1.14,5.38,1.51,2.5,2.3,1.63,3.76,1.26,1.62,2.2,1.14,1.18,2.63,21.0,21.0,34.0,67.0,10.0,9.5,17.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,19.0,41.0,151.0,0.6896551724137931,0.21052631578947367,0.17391304347826086,0.5649000445769934,0.30526315789473685,0.25217391304347825,3.2758620689655173,0.8260869565217391,3.9655172413793105,1.2105263157894737,4.3,3.3,1.0,65.05609473657542,58.781597235653635,26.56505117707799,0.7478260869565218,0.6947368421052631,0.17391304347826086
ptKYfDL6,CHINA 1,ROUND 19,2025-08-02,08:35,Qingdao West Coast,Henan Songshan Longmen,3.1,2.3,3.1,1.29,3.26,2.47,1.48,5.74,1.1,2.55,3.5,2.6,1.01,14.0,1.22,4.2,1.71,2.15,2.65,1.46,4.96,1.16,1.57,2.25,1.5,1.29,1.5,13.0,11.0,15.0,26.0,11.0,7.0,10.0,19.0,15.0,10.0,12.0,23.0,26.0,19.0,23.0,41.0,126.0,0.3921568627450981,0.2857142857142857,0.3846153846153846,0.18542213794619009,0.7285714285714285,0.9807692307692306,1.3725490196078431,1.346153846153846,1.019607843137255,0.7428571428571429,0.050000000000000266,0.9500000000000002,0.8999999999999999,1.432096184164654,25.407718108948476,-24.22774531795417,0.019230769230769332,0.27142857142857146,0.3461538461538461
