Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
hpxIetAj,2025-12-24,13:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Goa (Ind),Istiqlol Dushanbe (Taj),4.33,2.2,2.3,1.3,3.2,2.63,1.44,6.0,1.1,4.0,3.8,1.75,1.03,12.0,1.22,4.1,1.8,2.0,3.1,1.36,6.0,1.13,1.67,2.1,1.91,1.22,1.2
0QmzkMZi,2025-12-24,13:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Al Wasl (Uae),Al Wehdat (Jor),1.67,2.8,6.5,1.2,4.0,2.1,1.67,4.5,1.17,1.25,5.5,8.0,1.01,19.0,1.1,6.5,1.4,2.88,2.1,1.73,3.4,1.3,1.67,2.1,1.05,1.1,3.4
nJTkfToD,2025-12-24,13:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Al-Muharraq (Bhr),Esteghlal F.C. (Irn),3.1,1.88,3.6,1.5,2.4,3.1,1.22,7.8,1.03,2.42,2.8,2.9,1.1,5.8,1.41,2.37,2.47,1.48,4.6,1.16,8.4,1.04,2.05,1.66,1.33,1.33,1.42
48csGba3,2025-12-24,13:00,GHANA 1,Round 15,Eleven Wonders,Asante Kotoko,5.0,1.91,2.63,1.57,2.25,4.0,1.2,11.0,1.01,4.33,2.88,1.9,1.08,6.5,1.57,2.25,2.88,1.36,6.5,1.08,13.0,1.01,2.4,1.5,1.8,1.36,1.17
WAF8aUgR,2025-12-24,13:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Arkadag (Tkm),Al Khalidiyah (Bhr),3.3,1.91,3.4,1.5,2.5,3.5,1.25,9.5,1.04,2.55,2.88,2.8,1.07,8.0,1.44,2.7,2.55,1.5,5.0,1.17,10.0,1.04,2.1,1.67,1.36,1.33,1.44
KW9bNRFa,2025-12-24,13:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Al Nassr (Sau),Al Zawraa (Irq),1.44,2.88,13.0,1.25,3.5,2.25,1.57,5.5,1.13,1.1,7.5,23.0,1.01,15.0,1.17,5.0,1.6,2.3,2.55,1.5,3.6,1.2,2.88,1.36,1.01,1.06,6.0
MyGrOseo,2025-12-24,13:30,RWANDA 1,-,Gorilla,Al-Hilal Omdurman,3.75,1.83,3.25,1.57,2.25,3.8,1.22,10.0,1.02,2.88,2.8,2.5,1.07,7.0,1.5,2.4,2.6,1.44,5.5,1.11,11.0,1.01,2.2,1.6,1.44,1.36,1.36
nglyEPck,2025-12-24,14:30,TURKEY CUP,Round 1,Samsunspor,Eyupspor,2.3,2.25,4.75,1.36,3.0,2.75,1.4,7.0,1.1,1.73,3.5,4.33,1.06,10.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.83,1.83,1.18,1.25,1.91
UsZGVR5s,2025-12-24,14:30,AFRICA AFRICA CUP OF NATIONS,Round 1,Ivory Coast,Mozambique,1.83,2.3,9.5,1.4,2.75,2.75,1.4,8.0,1.08,1.36,4.5,9.5,1.07,9.0,1.3,3.4,2.03,1.78,3.5,1.29,7.0,1.1,2.5,1.5,1.07,1.18,3.0
tIh9Ar13,2025-12-24,15:00,EGYPT LEAGUE CUP,Round 3,Arab Contractors,El Gaish,3.3,1.83,3.75,1.57,2.25,4.0,1.2,10.0,1.03,2.4,2.75,3.2,1.1,6.5,1.6,2.3,2.88,1.4,6.5,1.1,15.0,1.01,2.25,1.57,1.29,1.36,1.5
Q9SPT5zf,2025-12-24,17:00,AFRICA AFRICA CUP OF NATIONS,Round 1,Cameroon,Gabon,2.88,2.0,4.33,1.53,2.38,3.5,1.29,11.0,1.05,2.2,3.0,3.75,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.73,1.25,1.36,1.67
