Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
tEIhCtAt,2026-03-05,15:30,QATAR 1,Round 18,Al Sailiya,Al-Duhail,5.7,2.66,1.83,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.72,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,2.0,0.0,0.0,0.0
fNqzfafC,2026-03-05,15:30,QATAR 1,Round 18,Al Wakra,Shamal,3.0,2.3,2.88,1.25,3.5,2.38,1.53,5.5,1.13,2.55,3.5,2.38,1.01,15.0,1.2,4.5,1.62,2.25,2.63,1.47,4.5,1.2,1.5,2.5,1.5,1.22,1.44
h8zgAmDl,2026-03-05,16:00,SAUDI ARABIA 1,Round 25,Damac,Al Riyadh,3.0,2.05,3.75,1.5,2.5,3.4,1.3,10.0,1.06,2.25,3.0,3.0,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.91,1.8,1.33,1.33,1.53
QuuvGIqA,2026-03-05,16:00,SAUDI ARABIA 1,Round 25,Al Kholood,Al Qadsiah,6.0,2.6,1.91,1.25,3.75,2.2,1.62,5.0,1.17,5.75,4.0,1.44,1.02,17.0,1.14,5.5,1.53,2.4,2.25,1.57,4.0,1.22,1.67,2.1,2.5,1.2,1.13
EoX6jYko,2026-03-05,16:30,POLAND 1,Round 19,Radomiak Radom,Arka Gdynia,2.3,2.2,5.0,1.4,2.75,2.75,1.4,8.0,1.08,1.73,3.6,4.75,1.05,11.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.91,1.91,1.18,1.29,2.05
pEyoJHgR,2026-03-05,16:30,EGYPT 1,Round 21,Petrojet,El Gaish,3.25,1.91,3.6,1.5,2.4,3.8,1.22,10.0,1.02,2.5,3.0,3.0,1.08,7.5,1.5,2.55,2.63,1.47,5.5,1.14,11.0,1.04,2.15,1.67,1.36,1.36,1.53
C0wwLwPE,2026-03-05,16:30,EGYPT 1,Round 21,Haras El Hodood,Pyramids,8.0,2.3,1.83,1.36,2.88,2.88,1.33,8.0,1.05,10.0,4.5,1.33,1.05,10.0,1.33,3.25,2.05,1.75,3.5,1.29,7.5,1.08,2.45,1.53,3.2,1.17,1.06
dEWQ9DGD,2026-03-05,16:30,EGYPT 1,Round 21,Ceramica Cleopatra,National Bank Egypt,3.0,2.0,3.6,1.45,2.55,3.3,1.29,9.0,1.03,2.38,3.1,3.2,1.07,8.0,1.4,2.88,2.38,1.57,4.5,1.2,9.0,1.05,2.0,1.8,1.36,1.33,1.57
pEsKTf9l,2026-03-05,16:30,SWITZERLAND 1,Round 28,Basel,Grasshoppers,2.1,2.5,4.75,1.25,3.75,2.2,1.62,5.0,1.17,1.57,4.0,5.0,1.02,17.0,1.17,5.0,1.57,2.35,2.25,1.57,4.0,1.22,1.57,2.25,1.17,1.22,2.25
IRRblvOb,2026-03-05,16:30,ITALY 3,Group C,Potenza,Cosenza,3.4,2.1,2.88,1.33,3.0,2.75,1.4,6.5,1.08,2.7,3.25,2.3,1.04,11.0,1.29,3.5,1.87,1.9,3.25,1.33,6.5,1.1,1.67,2.1,1.53,1.25,1.36
A1Ojj0gn,2026-03-05,16:30,ITALY 3,Group C,Crotone,Cavese,2.2,2.2,4.5,1.33,3.0,2.75,1.4,6.5,1.08,1.62,3.6,4.75,1.04,11.0,1.29,3.5,1.9,1.87,3.4,1.3,6.5,1.1,1.83,1.83,1.14,1.22,2.1
4rbtSm7d,2026-03-05,16:30,ITALY 3,Group C,Casertana,Salernitana,3.5,2.0,3.0,1.4,2.75,3.2,1.3,8.5,1.05,2.8,3.1,2.3,1.06,8.5,1.36,3.1,2.2,1.65,4.2,1.22,8.5,1.06,1.83,1.83,1.5,1.3,1.36
0Usqn9bS,2026-03-05,16:30,ITALY 3,Group C,Audace Cerignola,Trapani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.25,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.25,1.15,1.2,1.68
EgL7nIhB,2026-03-05,16:30,ITALY 3,Group C,Altamura,Foggia,2.63,2.0,4.0,1.4,2.75,3.0,1.33,7.5,1.06,1.95,3.3,3.4,1.06,8.5,1.36,3.1,2.15,1.67,3.8,1.25,8.0,1.07,1.83,1.83,1.25,1.29,1.67
dhejczX7,2026-03-05,16:30,EGYPT 1,Round 21,Arab Contractors,Al Ahly,6.5,2.2,2.0,1.36,2.88,3.0,1.33,8.0,1.05,7.0,3.9,1.47,1.06,9.0,1.36,3.1,2.1,1.73,4.1,1.22,8.0,1.07,2.3,1.6,2.7,1.22,1.08
QPUon3PF,2026-03-05,16:30,SWITZERLAND 1,Round 28,Thun,St. Gallen,2.6,2.5,3.5,1.25,3.75,2.2,1.62,5.0,1.17,2.05,3.75,3.1,1.02,19.0,1.14,5.5,1.53,2.4,2.2,1.62,3.75,1.25,1.44,2.63,1.36,1.25,1.7
6mbtWd8U,2026-03-05,16:30,ITALY 3,Group C,Benevento,Catania,3.0,2.0,3.6,1.44,2.63,3.2,1.3,8.5,1.05,2.3,3.0,2.9,1.07,8.0,1.4,2.88,2.25,1.62,4.33,1.2,8.5,1.06,1.91,1.8,1.3,1.3,1.53
vwIIJTp9,2026-03-05,17:00,ENGLAND 1,Round 29,Tottenham,Crystal Palace,2.88,2.25,3.4,1.33,3.25,2.63,1.44,6.5,1.11,2.35,3.25,3.1,1.04,12.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.62,2.2,1.36,1.33,1.57
p4JneRxq,2026-03-05,17:10,FRANCE CUP,Quarter-finals,Lyon,Lens,3.0,2.25,3.25,1.33,3.25,2.63,1.44,6.5,1.11,2.4,3.4,2.75,1.04,12.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,1.4,1.3,1.53
