Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
4n4zIX36,ENGLAND 1,ROUND 6,2025-09-27,11:00,Chelsea,Brighton,2.25,2.4,4.33,1.29,3.5,2.25,1.57,5.5,1.14,1.75,4.0,4.2,1.03,15.0,1.17,5.0,1.57,2.38,2.5,1.53,4.33,1.22,1.57,2.25,1.22,1.22,2.0,17.0,17.0,26.0,51.0,11.0,8.5,15.0,34.0,11.0,9.5,15.0,34.0,17.0,15.0,21.0,41.0,151.0
CC7rGBYI,ENGLAND 1,ROUND 6,2025-09-27,11:00,Crystal Palace,Liverpool,4.0,2.38,2.4,1.3,3.4,2.5,1.5,6.0,1.13,3.8,3.8,1.9,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,1.62,2.2,1.91,1.25,1.25,13.0,9.5,11.0,19.0,15.0,8.0,9.5,15.0,23.0,15.0,15.0,23.0,41.0,29.0,34.0,41.0,201.0
vHKAJpuB,ENGLAND 1,ROUND 6,2025-09-27,11:00,Manchester City,Burnley,1.5,3.0,11.0,1.22,4.0,2.0,1.73,4.33,1.2,1.17,7.5,15.0,1.02,19.0,1.14,5.5,1.44,2.75,2.1,1.73,3.5,1.3,2.05,1.7,1.03,1.1,5.0,21.0,41.0,81.0,251.0,10.0,15.0,41.0,101.0,7.0,11.0,29.0,81.0,7.5,12.0,34.0,81.0,501.0
AP4cWpWQ,ENGLAND 2,ROUND 7,2025-09-27,11:00,Sheffield Wed,QPR,3.4,2.1,3.2,1.4,2.75,3.0,1.36,8.0,1.08,2.7,3.4,2.45,1.06,10.0,1.33,3.4,2.0,1.8,3.75,1.29,7.0,1.1,1.8,1.91,1.5,1.3,1.4,9.5,8.0,12.0,23.0,8.5,6.5,10.0,21.0,13.0,10.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0
zmQfCPve,ENGLAND 2,ROUND 7,2025-09-27,11:00,Ipswich,Portsmouth,2.05,2.38,6.0,1.33,3.25,2.5,1.5,6.5,1.11,1.49,3.9,6.25,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.8,1.91,1.13,1.25,2.38,12.0,17.0,34.0,67.0,7.5,7.5,19.0,41.0,7.5,8.5,15.0,41.0,11.0,12.0,23.0,51.0,251.0
2Z98WThB,BELGIUM 2,ROUND 8,2025-09-27,11:00,Anderlecht U23,Club Brugge KV U23,3.0,2.4,3.0,1.29,3.5,2.25,1.57,5.5,1.14,2.5,3.4,2.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.5,2.5,1.5,1.3,1.5,15.0,12.0,15.0,26.0,12.0,7.0,10.0,19.0,15.0,10.0,11.0,23.0,26.0,19.0,23.0,34.0,101.0
htjKEGcf,BELGIUM 1,ROUND 9,2025-09-27,11:00,Waregem,Antwerp,3.2,2.2,3.2,1.36,3.0,2.75,1.4,7.0,1.1,2.63,3.25,2.63,1.05,11.0,1.25,3.75,1.85,1.95,3.0,1.36,6.0,1.13,1.67,2.1,1.44,1.33,1.44,11.0,9.5,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,151.0
8Y9EWgQ9,ENGLAND 2,ROUND 7,2025-09-27,11:00,Charlton,Blackburn,3.0,2.0,4.0,1.5,2.5,3.4,1.3,10.0,1.06,2.25,3.25,3.1,1.08,8.0,1.44,2.75,2.3,1.62,4.33,1.22,9.0,1.07,2.0,1.73,1.36,1.33,1.57,8.0,8.0,15.0,34.0,6.5,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,51.0,401.0
necLop7j,CROATIA 1,ROUND 8,2025-09-27,11:00,Rijeka,Istra 1961,2.4,2.1,5.0,1.44,2.63,3.25,1.33,9.0,1.07,1.8,3.5,4.33,1.07,8.5,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,2.0,1.73,1.2,1.29,1.95,8.5,11.0,21.0,51.0,6.0,7.0,15.0,41.0,7.5,9.0,19.0,41.0,15.0,17.0,34.0,67.0,1000.0
b7C2L6Ab,ENGLAND 1,ROUND 6,2025-09-27,11:00,Leeds,Bournemouth,3.4,2.2,3.1,1.4,2.75,2.75,1.4,8.0,1.08,2.9,3.25,2.5,1.06,10.0,1.3,3.5,2.0,1.85,3.4,1.33,6.5,1.11,1.7,2.05,1.5,1.33,1.4,10.0,9.5,13.0,26.0,11.0,6.5,11.0,21.0,17.0,12.0,15.0,34.0,34.0,26.0,34.0,51.0,251.0
